TÌtulo;Resumo;Selecionado
Proceedings of the 1st International Workshop on Security Awareness from Design to Deployment;Pushed by market forces software development has become fast-paced. As a consequence modern development projects are assembled from 3rd-party components. Security &amp privacy assurance techniques once designed for large controlled updates over months or years must now cope with small continuous changes taking place within a week and happening in sub-components that are controlled by third-party developers one might not even know they existed. In this paper we aim to provide an overview of the current software security approaches and evaluate their appropriateness in the face of the changed nature in software development. Software security assurance could benefit by switching from a process-based to an artefact-based approach. Further security evaluation might need to be more incremental automated and decentralized. We believe this can be achieved by supporting mechanisms for lightweight and scalable screenings that are applicable to the entire population of software components albeit there might be a price to pay.;
Proceedings of the 43rd International Conference on Software Engineering: New Ideas and Emerging Results;In the ASPIRE research project a software protection tool flow was designed and prototyped that targets native ARM Android code. This tool flow supports the deployment of a number of protections against man-at-the-end attacks. In this tutorial an overview of the tool flow will be presented and attendants will participate to a hands-on demonstration. In addition we will present an overview of the decision support systems developed in the project to facilitate the use of the protection tool flow.;
Proceedings of the 2016 ACM Workshop on Software PROtection;Today's software development projects need to consider security as one of the qualities the software should possess. However overspending on security will imply that the software will become more expensive and often also delayed. This paper discusses the role of objectivity in assessing and researching the goal of good enough security. Different understandings of objectivity are introduced and the paper explores how these can guide the way forward in improving judgements on what level of security is good enough. The paper recommends adopting and improving upon methods that include different perspectives support the building of interactive expertise and support confirmability by keeping documentation of the basis on which judgements were made.;
Proceedings of the 2021 European Symposium on Usable Security;The security of a company's software products is of paramount importance of course and arguably even more important than software reliability and the other key quality attributes. But companies are currently faced with a troublesome dilemma: Supplying customers with more features at greater speeds than in the past has become the norm high feature velocity fairly static engineering headcounts and shorter release cycles are conspiring to threaten both software reliability and security. The work described in this paper is an attempt to baseline and (internally) benchmark the state of our company's software security and also includes some data regarding the state of software reliability across the company's products. Of particular interest in this study is learning more about the extent of software vulnerabilities emanating from the open source software that we import and use in our commercial products. Prior evidence had been building that suggested that such `third-party software' (TPS) is inherently more vulnerable to security (and reliability) problems. We have examined the software vulnerability occurrences across all the company's software in the aggregate and have found that the TPS used in our products primarily open source software initially contains more vulnerabilities than internally-produced software. Security and reliability problems both in terms of bug counts and percentages of total code volume correlate quite well and examples of this are also shown but we cannot rely on this concurrence in our study: Software security on its own has been examined in detail and while some findings are documented here many questions remain.;
Proceedings of the 35th Annual ACM Symposium on Applied Computing;Security is an essential component of the software development lifecycle. Researchers and practitioners have developed educational interventions guidelines security analysis tools and new APIs aimed at improving security. However measuring any resulting improvement in secure development skill is challenging. As a proxy for skill we propose to measure self-efficacy which has been shown to correlate with skill in other contexts. Here we present a validated scale measuring secure software-development self-efficacy (SSD-SES). We first reviewed popular secure-development frameworks and surveyed 22 secure-development experts to identify 58 unique tasks. Next we asked 311 developers - over multiple rounds - to rate their skill at each task. We iteratively updated our questions to ensure they were easily understandable showed adequate variance between participants and demonstrated reliability. Our final 15-item scale contains two sub-scales measuring belief in ability to perform vulnerability identification and mitigation as well as security communications tasks.;
Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems;The introduction of agile software development methods has brought about diverse benefits to the industry. These range from rapid deployment of software products to satisfying the ever changing customer requirements among others. These have in turn fueled the rapid adoption of these methodologies within the industry. On the down side agile approach has been proved to be weak in handling security and therefore not appropriate for developing secure systems. The framework we present in this paper addresses this by ensuring that security is in the development process from the beginning of the project to the end. It is modeled after the SSE-CMM as a standard for security engineering. Considering its process areas it aims to achieve the intended security goals within the agile process to appropriate levels by adopting agility in the implementation of these activities. The criteria of implementation are agility plus the SSE-CMM process areas goals. The framework is tested through a case study to check the capability levels achieved and the agility of the resultant process.;
Proceedings of the 11th International Conference on Information Communication and Management;Huge numbers of worldwide-deployed software suffer from poor quality and possess vulnerabilities with serious impact. Meanwhile people are using such software to save and manage their valuable information including their monetary data. This has increased the hackers' appetite to attack software. Henceforth researchers and practitioners are convinced that software security is not an added value or a gold-plating need. Consequently security requirements specification and implementation become vital during the software development process. Unfortunately researchers and practitioners are doing so in a rush. This has made them mix concepts and practices up in a way that can terribly make the problem of delivering software overdue more chronic which will result in a security and technical debt. This research represents a corrective study that sheds light on what has been achieved in analyzing and designing secure software and what are the problems committed and how to handle them.;
Proceedings of the New Security Paradigms Workshop 2020;Learning software security has become a complex and difficult task today than it was even a decade ago. With the increased complexity of computer systems and a variety of applications it is hard for software developers to master the expertise required to deal with the variety of security concepts methods and technologies that are required in software projects. Although a large number of security learning materials are widely available in books open literature or on the Internet they are difficult for learners to understand the rationale of security topics and correlate the concepts with real software scenarios. We argue that the traditional approach which usually organizes knowledge content topically with security-centric is not suitable to motivate learners and stimulate learners' interest. To tackle this learning issue our research is focused on forging a contextualized learning environment for software security where learners can explore security knowledge and relate it to the context that they are familiar with. This learning system is developed base on our proposed context-based learning approach and based on ontological technologies. In this paper we present our evaluation study in the open source software (OSS) development environment. Our results demonstrate that contextualized learning can help OSS developers identify their necessary security information improve learning efficiency and make security knowledge more meaningful for their software development tasks;
Proceedings of the 40th International Conference on Software Engineering;There has been a surge in number of software security threats and vulnerabilities in recent times. At the same time expectations towards software and data security are growing. Thus there is a need to ensure that security-related tasks are effectively integrated in the software development process. However integrating security practices with agile software development is not trivial due to for instance differences in process dynamics and concentration on functional vs non-functional requirements. In this short paper we present a literature review on challenges and solutions when adopting security in agile software development contexts. Our findings show that there are ongoing efforts to integrate security-practices in agile methods but more research is needed to make the processes more optimized and simpler for developers.;
Proceedings of the 19th International Conference on Agile Software Development: Companion;This case study addresses how we applied user centered design (UCD) to the software development lifecycle for the new City of Austin Utilities Online Customer Care website. The case study focuses on the use of personas prototypes and user testing discusses what worked well and provides lessons learned.;
CHI '12 Extended Abstracts on Human Factors in Computing Systems;Several disastrous security attacks can be attributed to delays in patching software vulnerabilities. While researchers and practitioners have paid significant attention to automate vulnerabilities identification and patch development activities of software security patch management there has been relatively little effort dedicated to gain an in-depth understanding of the socio-technical aspects e.g. coordination of interdependent activities of the patching process and patching decisions that may cause delays in applying security patches. We report on a Grounded Theory study of the role of coordination in security patch management. The reported theory consists of four inter-related dimensions i.e. causes breakdowns constraints and mechanisms. The theory explains the causes that define the need for coordination among interdependent software/hardware components and multiple stakeholders‚Äô decisions the constraints that can negatively impact coordination the breakdowns in coordination and the potential corrective measures. This study provides potentially useful insights for researchers and practitioners who can carefully consider the needs of and devise suitable solutions for supporting the coordination of interdependencies involved in security patch management.;
Proceedings of the 14th ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM);In this work we provide a metric to calculate the most significant software security weaknesses as defined by an aggregate metric of the frequency exploitability and impact of related vulnerabilities. The Common Weakness Enumeration (CWE) is a well-known and used list of software security weaknesses. The CWE community publishes such an aggregate metric to calculate the ‚ÄòMost Dangerous Software Errors‚Äô. However we find that the published equation highly biases frequency and almost ignores exploitability and impact in generating top lists of varying sizes. This is due to the differences in the distributions of the component metric values. To mitigate this we linearize the frequency distribution using a double log function. We then propose a variety of other improvements provide top lists of the most significant CWEs for 2019 provide an analysis of the identified software security weaknesses and compare them against previously published top lists.;
Proceedings of the 36th Annual Computer Security Applications Conference;Over the past 15 years the topic of information security economics has grown to become a large and diverse field influencing security thinking on issues as diverse as bitcoin markets and cybersecurity insurance. An aspect yet to receive much attention in this respect is that of secure software development or 'SWSec' --- another area that has seen a surge of research since 2000. SWSec provides paradigms practices and procedures that offer some promise to address current security problems yet those solutions face financial and technical barriers that necessitate a more thorough approach to planning and execution. Meanwhile information security economics has developed theory and practice to support a particular world-view however it has yet to account for the investments constructs and benefits of SWSec. As the frequency and severity of computer misuse has increased both areas have struggled to impart a new mindset for addressing the inherent issues that arise in a diverse connected and functionality-driven landscape.This paper presents a call for the establishment of an economics of secure software development. We present the primary challenges facing practice citing relevant literature from both communities to illustrate where commonalities lie --- and where further work is needed. Those challenges are decomposed into a research agenda deriving from the application of principles in both themes a lack of models representation and analysis in practice. A framework emerges that facilitates discussions of security theory and practice.;
Proceedings of the 2016 New Security Paradigms Workshop;Software security has been a subject of plethora studies for the past decades. A relatively large number of frameworks coding standards and guidelines have been developed and published by security committees in publications or on the internet. We argue that the huge mass of information has resulted in a form of information overload to software developers who come from many disciplines and have different levels of programming knowledge. We consider that the knowledge contents of software security should be organized as scaffold learning by breaking down complex materials into component parts. In this paper we present a concept map approach to model the knowledge of software security in a graphical and visualized format. The concept maps are constructed in accordance with the pre-developed software security domain model which reduces the difficulties and complexity in developing concept maps. For operationalization the proposed concept maps consider different learning preferences and form security metal models among developers.;
Proceedings of the 2nd International Conference on E-Society E-Education and E-Technology;"It is our great pleasure to welcome you to the 2nd International Workshop on Software PROtection -- SPRO'16. For the second year this one-day workshop hopes to bring researchers and practitioners from academies and from industry together in Europe to focus on all matters relevant to the protection of software against man-at-the-end attacks.For this second edition we received fourteen papers of which eight were eventually selected for presentation and publication. The papers cover the research areas of white-box cryptography integrity checking obfuscation and software vulnerabilities. We are sure the eight presentations spread over three research paper sessions will help you in acquiring new insights and will spark interesting discussions.We also encourage attendees to attend the keynote presentation titled Intel Software Guard Extensions - Introduction and Open Research Challenges"" by Matthias Schunter (Intel) as well as the panel (and public!) discussion on the topic ""Software Protection Research in Europe where are we going?"". Furthermore we look forward to the tutorial on the ASPIRE Framework for Software Protection that will be presented by the ASPIRE project consortium.This valuable and insightful talk discussion and hands-on demonstration will guide us to a better understanding of the current state-of-the-art and of the challenges our community should focus and collaborate on in the near future.""";
Applying Software Protection to White-Box Cryptography;White-box cryptography sits at the intersection of software protection and cryptography. Software protection is aimed at preventing attackers from modifying software or extracting secrets from it through reverse-engineering or other means. Software protection becomes white-box cryptography when it is applied to software implementations of cryptographic algorithms.;
Proceedings of the 5th Program Protection and Reverse Engineering Workshop;Existing anti-debugging protections are relatively weak. In existing self-debugger approaches a custom debugger is attached to the main application of which the control flow is obfuscated by redirecting it through the debugger. The coupling between the debugger and the main application is then quite loose and not that hard to break by an attacker. In the tightly-coupled self-debugging technique proposed in this paper full code fragments are migrated from the application to the debugger making it harder for the attacker to reverse-engineer the program and to deconstruct it into the original unprotected program to attach a debugger or to collect traces. We evaluate a prototype implementation on three complex real-world Android use cases and present the results of tests conducted by professional penetration testers.;
Proceedings of the 6th Workshop on Software Security Protection and Reverse Engineering;Many software services are currently created using DevOps where developers and operations personnel are more tightly integrated. The DevOps paradigm enables shorter development cycles but increased speed has raised concerns over whether security issues may be overlooked. However perfect security is never achievable and in addition to the proactive software security efforts we also need a reactive effort to handle flaws and bugs that are not discovered before they are used in an attack. In this paper we explore how focus on incident management and collaboration with developers can contribute to improved software security.;
Interventions for software security: creating a lightweight program of assurance techniques for developers;Though some software development teams are highly effective at delivering security others either do not care or do not have access to security experts to teach them how. Unfortunately these latter teams are still responsible for the security of the systems they build: systems that are ever more important to ever more people. We propose that a series of lightweight interventions six hours of facilitated workshops delivered over three months can improve a team's motivation to consider security and awareness of assurance techniques changing its security culture even when no security experts are involved. The interventions were developed after an Appreciative Inquiry and Grounded Theory survey of security professionals to find out what approaches work best. They were then validated in fieldwork with a Participatory Action Research study that delivered the workshops to three development organizations. This approach has the potential to be applied by many development teams improving the security of software worldwide.;
Proceedings of the 41st International Conference on Software Engineering: Software Engineering in Practice;Combining security engineering and software engineering is shaping the software development processes and shifting the emphasis of information security from the operation environment into the main information asset: the software itself. To protect software and data assets software development is subjected to an increasing amount of external regulation and organizational security requirements. To fulfill these requirements the practitioners producing secure software have plenty of models guidelines standards and security instructions to follow but very little scientific knowledge about effectiveness of the security they take.In this paper we present the current state of security engineering surveys and present results from our industrial survey (n = 62) performed in early 2018. The survey was conducted among selected software and security professionals employed by a selected set of 303 Finnish software companies. Results are compared to a commercial survey the BSIMM version 8 and the similarities and distinct differences are discussed. Also an analysis of the composition of security development life cycle models is presented suggesting regulation to be the driving force behind security engineering in software industry.;
Proceedings of the 8th International Conference on Security of Information and Networks;Software Protection techniques aim to defend the confidentiality and integrity of software applications that are exposed to an adversary that shares the execution host and access privileges of the application. This scenario is often denoted as protection against MATE (Man-At-The-End) attacks. This is an area of growing importance. For industry in many cases the deployment of such techniques is crucial to ensure business continuity. Following the first SPRO workshop co-located with ICSE 2015 in Florence Italy this second edition aims to establish a tradition where academics and industrial experts in software protection can meet to confront the challenges in designing stronger protections and in developing better support to deploy those protections and to make them compatible with industrial software development life cycle requirements.;
Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security;This paper considers the pure software solution to security. It compares the advantages and disadvantages of this approach to a range of solutions supported by hardware extensions to processors.;
Proceedings of the 1st International Workshop on Software Protection;We present the EU FP7 ASPIRE project with a focus on its design of a decision support system that will enable non-expert users to configure a complex software protection tool chain to protect the assets in their software.;
Proceedings of the 24th Conference on Pattern Languages of Programs;This paper proposes network security enhancement solution aiming to improving the level of performance in the detection of cyber-attacks on Software Defined Network (SDN) it will prevent against Denial of Service Attack. We are going to employ two solution and comparing on the SDN attack detection performance. The first approach is the performance accuracy of the SDN with IDS procedural and the second approach is the integration of SDN with Machine Learning. The project serves the organization generally in the field of information security network security and cybersecurity awareness. The system performance evaluation results prove the system is capable to provide the effective DDoS attack detection and provide security enhancement in Software Defined Network.;
Proceedings of the 4th International Conference on Future Networks and Distributed Systems;The 4+1 principles document common principles of software safety assurance that can be observed from software safety standards and best practice. These principles are constant across domains and across projects and can be regarded as the immutable core of any software safety justification. The principles also help maintain understanding of the 'big picture' of software safety issues whilst examining and negotiating the detail of individual standards and provide a reference model for cross-sector certification. This document discusses the challenges posed when applying these principles to Scrum and makes initial recommendations for how the principles can be accommodated within a Scrum development.;
Proceedings of the Scientific Workshop Proceedings of XP2016;Security is an important software quality attribute albeit as a nonfunctional requirement often overlooked. Although several approaches for security requirements engineering exist it is not clear how to adapt security requirements to software end users. This poster aims to fill in this gap by developing a novel approach for acquiring security requirements by leveraging end user analysis and a security body of knowledge. To achieve this aim we divide security requirements into two categories. Software security requirements are those that need to be technically implemented in the developed software. Training security requirements are those that aim to provide the necessary training to the end users that need it. The proposed approach may help security experts in security requirements engineering tailored to the characteristics of end users.;
Proceedings of the 2020 European Interdisciplinary Cybersecurity Conference;Lack of security expertise among software practitioners is a problem with many implications. First there is a deficit of security professionals to meet current needs. Additionally even practitioners who do not plan to work in security may benefit from increased understanding of security. The goal of this paper is to aid software engineering educators in designing a comprehensive software security course by sharing an experience running a software security course for the eleventh time. Through all the eleven years of running the software security course the course objectives have been comprehensive - ranging from security testing to secure design and coding to security requirements to security risk management. For the first time in this eleventh year a theme of the course assignments was to map vulnerability discovery to the security controls of the Open Web Application Security Project (OWASP) Application Security Verification Standard (ASVS). Based upon student performance on a final exploratory penetration testing project this mapping may have increased students' depth of understanding of a wider range of security topics. The students efficiently detected 191 unique and verified vulnerabilities of 28 different Common Weakness Enumeration (CWE) types during a three-hour period in the OpenMRS project an electronic health record application in active use.;
Proceedings of the 43rd International Conference on Software Engineering: Joint Track on Software Engineering Education and Training;This paper provides an approach to address the secure software update weakness in the car Infotainment software. It elaborates the importance of software update and the recent happenings that showcase the vulnerabilities in the process and practice by car manufactures. It also discusses on the effort by industry alliance to address the challenges by the growth in software percentage in the passenger vehicles. The paper highlights how a combination of secure software update approaches in the automotive and consumer electronic devices industry can be solution to the problems and challenges faced by the car manufactures.;
Proceedings of the 10th Innovations in Software Engineering Conference;Virtualization is becoming a prominent field of research not only in distributed systems but also in software protection and obfuscation. Software virtualization has given rise to advanced techniques that may provide intellectual property protection and anti-cloning resilience. We present results of an empirical study that answers whether integrity of execution can be preserved for process-level virtualization protection schemes in the face of adversarial analysis. Our particular approach considers exploits that target the virtual execution environment itself and how it interacts with the underlying host operating system and hardware. We give initial results that indicate such protection mechanisms may be vulnerable at the level where the virtualized code interacts with the underlying operating system. The resolution of whether such attacks can undermine security will help create better detection and analysis methods for malware that also employ software virtualization. Our findings help frame research for additional mitigation techniques using hardware-based integration or hybrid virtualization techniques that can better defend legitimate uses of virtualized software protection.;
Proceedings of the 4th Program Protection and Reverse Engineering Workshop;Learning software security is a big challenging task in the information technology sector due to the vast amount of security knowledge and the difficulties in understanding the practical applications. The traditional teaching and learning materials which are usually organized topically and security-centric have fewer linkages with learners' experience and prior knowledge that they bring to the learning sessions. Learners often do not associate vulnerabilities or coding practices with programs similar to what they were writing in their previous time. Consequently their motivation for learning is not touched by conventional methods. The aim of this paper is the presentation of an ontology-based learning system for software security with contextualized learning approaches and of the results of an initial evaluation using a controlled quasi-experiment in a university learning environment. This system facilitates the contextual learning process by providing contextualized access to security knowledge via real software application scenarios in which learners can explore and relate the security knowledge to the context they are already familiar with. The experiment results show that the prototyped system with the proposed learning approach not only yields significant knowledge gain compared to the conventional learning approach but also gains better learning satisfaction of students.;
Proceedings of the 23rd International Conference on Evaluation and Assessment in Software Engineering;The DevOps paradigm means that development and operations for an organisation blend together. For security this implies that information on detected attacks can be fed back to the development enabling faster eradication of vulnerabilities in software. This is particularly important in cloud installations where release cycles can be less than a day. This paper argues that DevOps can be employed for overall improved software security.;
Proceedings of the 12th International Conference on Availability Reliability and Security;When studying work practices it is important to obtain accurate and reliable information about how work is actually done. Action research is an interactive inquiry process that balances problem solving actions implemented in a collaborative context with data-driven collaborative analysis or research to understand underlying causes enabling future predictions about personal and organizational change. Our research team has been engaged in action research in software organizations in Norway for two years. In this paper we describe some of the challenges in performing canonical action research in software security. We have structured the discussion of the challenges based on the principles of canonical action research and we draw some lessons learned and future work towards improving the adoption of action research in software security research.;
Proceedings of the 5th Annual Symposium and Bootcamp on Hot Topics in the Science of Security;The analysis of binary code is a common step of Man-At-The-End attacks to identify code sections crucial to implement attacks such as identifying private key hidden in the code identifying sensitive algorithms or tamper with the code to disable protections (e.g. license checks or DRM) embedded in binary code or use the software in an unauthorized manner. Code Mobility can be used to thwart code analysis and debugging by removing parts of the code from the deployed software program and installing it at run-time by downloading binary code blocks from a trusted server. The proposed architecture of the code mobility protection downloads mobile code blocks which are allocated dynamically at addresses determined at run-time control transfers into and out of mobile code blocks are rewritten using the Diablo binary-rewriter tool.;
Proceedings of the Second ACM Workshop on Moving Target Defense;On behalf of the entire workshop committee it is our great pleasure to welcome you to the Third International Workshop on Software Security from Design to Deployment (SEAD) held on November 9 2020 and co-located with the ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE) 2020.;
Measuring Software Security from the Design of Software;With the increasing use of mobile phones in contemporary society more and more networked computers are connected to each other. This has brought along security issues. To solve these issues both research and development communities are trying to build more secure software. However there is the question that how the secure software is defined and how the security could be measured. In this paper we study this problem by studying what kinds of security measurement tools (i.e. metrics) are available and what these tools and metrics reveal about the security of software. As the result of the study we noticed that security verification activities fall into two main categories evaluation and assurance. There exist 34 metrics for measuring the security from which 29 are assurance metrics and 5 are evaluation metrics. Evaluating and studying these metrics lead us to the conclusion that the general quality of the security metrics are not in a satisfying level that could be suitably used in daily engineering work flows. They have both theoretical and practical issues that require further research and need to be improved.;
Proceedings of the 18th International Conference on Computer Systems and Technologies;The integration of usability activities into software development lifecycles still remains to be a challenge. Most of the existing integration approaches appear to be on an operational level and cannot be transferred to other processes. Furthermore UE standards and methods are hardly applied. How can organizations be supported in understanding and using this existing knowledge? The approach in this paper focuses on the constellation of standards to integrate UE and SE. Therefore current development processes and standards will be analyzed and discussed to formulate recommendations for activities. In this manner a toolset will be established to support the selection of suitable methods the documentation and communication of intermediary results as well as the definition of competencies.;
Proceedings of the 4th ACM SIGCHI Symposium on Engineering Interactive Computing Systems;Google Search is where most developers start their Web journey looking for code examples to reuse. It is highly likely that code that is linked to the top results will be among those candidates that find their way into production software. However as a large amount of secure and insecure code has been identified on the Web the question arises how the providing webpages are ranked by Google and whether the ranking has an effect on software security. We investigate how secure and insecure cryptographic code examples from Stack Overflow are ranked by Google Search. Our results show that insecure code ends up in the top results and is clicked on more often. There is at least a 22.8% chance that one out of the top three Google Search results leads to insecure code. We introduce security-based re-ranking where the rank of Google Search is updated based on the security and relevance of the provided source code in the results. We tested our re-ranking approach and compared it to Google's original ranking in an online developer study. Participants that used our modified search engine to look for help online submitted more secure and functional results with statistical significance. In contrast to prior work on helping developers to write secure code security-based re-ranking completely eradicates the requirement for any action performed by developers. Our intervention remains completely invisible and therefore the probability of adoption is greatly increased. We believe security-based re-ranking allows Internet-wide improvement of code security and prevents the far-reaching spread of insecure code found on the Web.;
Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security;Massively Open Online Courses (MOOCs) provide a unique opportunity to reach out to students who would not normally be reached by alleviating the need to be physically present in the classroom. However teaching software security coursework outside of a classroom setting can be challenging. What are the challenges when converting security material from an on-campus course to the MOOC format? The goal of this research is to assist educators in constructing software security coursework by providing a comparison of classroom courses and MOOCs. In this work we compare demographic information student motivations and student results from an on-campus software security course and a MOOC version of the same course. We found that the two populations of students differed with the MOOC reaching a more diverse set of students than the on-campus course. We found that students in the on-campus course had higher quiz scores on average than students in the MOOC. Finally we document our experience running the courses and what we would do differently to assist future educators constructing similar MOOC's.;
Proceedings of the 38th International Conference on Software Engineering Companion;There are many reasons to protect software: your banking app needs to be protected to prevent fraud software operating on critical infrastructures needs to be protected against vulnerability discovery software vendors and service companies need it to protect their business etc. In the past decade many techniques to protect software have been presented ... and broken. Beyond making individual techniques better the challenge includes to be able to deploy them in practice and be able to evaluate them. This is the objective of SPRO the first International Workshop on Software Protection: to bring together researchers and industrial practitioners both from software protection and the wider software engineering community to share experience and provide directions for future research in order to stimulate the use of software engineering techniques in novel aspects of software protection. This first edition of the workshop is held at ICSE 2015 in Florence (Italy) with the aim of creating a community working in this new growing area of security and to highlight its synergies with different research fields of software engineering like: formal models program analysis reverse engineering code transformations empirical evaluation and software metrics. This paper presents the research themes and challenges of the workshop describes the workshop organization and summarizes the research papers.;
Proceedings of the 37th International Conference on Software Engineering - Volume 2;Both academia and industry advocate the security by design principle to stress the importance of dealing with security from the earliest stages in software development. Nevertheless designers often have to resort to their own knowledge and experience to pro-actively identify and mitigate potential security problems. Moreover research shows that correctly applying security solutions is a much more significant challenge for designers rather than finding an adequate solution. Therefore there is a need for techniques that ensure a correct application of a security design solution. The contribution of this paper is a model in which the security-relevant aspects of a design can be precisely expressed in an integrated manner enabling thorough reasoning about these aspects. We illustrate this model with a sizeable model of a banking system and show how the precise semantics of this model enables the tool-supported construction of proofs about the correctness of the applied design solutions. Our proposal thus enables designers to obtain stronger guarantees ensuring the correctness of their solutions. The presented model can serve as the foundation for security by design in time enabling automated security verification throughout the software development cycle.;
Proceedings of the 5th International FME Workshop on Formal Methods in Software Engineering;To improve the security of computer systems information and the cyber space it is critical to engineer more secure software. To develop secure and reliable software software developers need to have the mindset of an attacker. Attack patterns such as CAPEC are valuable resources to help software developers to think like an attacker and have the potential to be used in each phase of the secure software development life cycle. However systematic processes or methods for utilizing existing attack pattern resources are needed. As a first step this paper describes our ongoing effort of developing a tool to retrieve relevant CAPEC attack patterns for software development. This tool can retrieve attack patterns most relevant to a particular STRIDE type as well as most useful to the software being developed. It can be used in conjunction with the Microsoft SDL threat modeling tool. It also allows developers to search for CAPEC attack patterns using keywords.;
Proceedings of the 9th Annual Cyber and Information Security Research Conference;Using scientific disciplines as inspiration some researchers have called for the creation of general theories for software engineering. I present a contrary view drawing on recent work in the philosophy of engineering. Engineering theories are different to scientific theories and are not judged by the same criteria. Software engineering researchers should strive to create valid theories about the uses of software-based systems even if that leads to a multitude of theories that have narrow overlapping scopes are approximate and have little explanatory power. The engineering imperative is that the predictions of software engineering theories should be consistent with actual behaviour of software-based systems and that theories and should support assurances and explicit justification that systems will meet their requirements. Process theories are about the organisation of work and project management and are relevant to cost and schedule requirements in software engineering. However to directly provide evidence that software-based systems meet their main functional and non-functional requirements software engineering researchers should focus on product theories about the specifications designs code and behaviours of software-based systems.;
Proceedings of the Fourth SEMAT Workshop on General Theory of Software Engineering;Since Gamma et al. published their design patterns patterns are very popular in the area of software engineering. They provide best practice to handle recurring problems during the software development phase. Three years later security patterns appeared and provided solutions for security problems. Besides the name analogy design and security patterns should be very similar except for the security factor. In research and industry software engineering with design patterns is widespread. However some researchers suspect that security-pattern engineering is made difficult by some issues such as terminology or description form. Detecting adoption problems can help to improve security patterns in future. Thus they can promote the awareness of security especially in the software maintenance phase where many programmers first give attention to security problems. Therefore we will compare design and security patterns to find indicators for negative impact on security pattern engineering in software development. We address this issue on inspecting the aspects classification description form provided code examples and usage in the software life-cycle. We determine the degree of maturity of software-security patterns by comparing them to the well-explored design patterns. To achieve the objective we inspect the pattern terminology and conducted a study on the used description forms including provided UML diagrams and code examples. Moreover a literature review is conducted to compare their state of research w.r.t. the software life-cycle. The maturity degree of security patterns compared to common design patterns differs and we depict further research opportunities on security patterns.;
