T�tulo;Resumo;Selecionado
Adaptive Variational Quantum Dynamics Simulations;"We propose a general-purpose self-adaptive approach to construct a variational wave-function ansatz for highly accurate quantum dynamics simulations based on McLachlan's variational principle. The key idea is to dynamically expand the variational ansatz along the time-evolution path such that the McLachlan distance"" which is a measure of the simulation accuracy remains below a set threshold. We apply this adaptive variational quantum dynamics simulation (AVQDS) approach to the integrable Lieb-Schultz-Mattis spin chain and the nonintegrable mixed-field Ising model where it captures both finite-rate and sudden post-quench dynamics with high fidelity. The AVQDS quantum circuits that prepare the time-evolved state are much shallower than those obtained from first-order Trotterization and contain up to 2 orders of magnitude fewer cnot gate operations. We envision that a wide range of dynamical simulations of quantum many-body systems on near-term quantum-computing devices will be made possible through the AVQDS framework. © 2021 authors. Published by the American Physical Society.""";
Resonance-forbidden second-harmonic generation in nonlinear photonic crystals;"Second harmonic generation through nonlinear nano-photonic structures is important in both classical and quantum applications. It is commonly expected that the second harmonic frequency can always be generated as long as appropriate quadratic nonlinearity is provided by the material and the phase-matching condition is satisfied. Here we present an anomaly to this common wisdom by showing that second-harmonic dipoles generated in a nonlinear photonic crystal slab can be completely nonradiative. As a result no energy is transferred from the fundamental frequency to the second harmonic even when the phase-matching condition is satisfied-A phenomenon we call resonance-forbidden second-harmonic generation"". Through numerical simulation we identify two mechanisms that can achieve this phenomenon: Symmetry protection and parameter tuning. The finite-size effect and the topological origin of this phenomenon are also discussed.  © 2021 Jicheng Jin et al. published by De Gruyter Berlin/Boston.""";
Proceedings - 2021 IEEE/ACM 2nd International Workshop on Quantum Software Engineering Q-SE 2021;The proceedings contain 8 papers. The topics discussed include: modeling quantum circuits with UML some size and structure metrics for quantum software quantum software models: the density matrix for classical and quantum software systems design towards model-driven quantum software engineering identifying bug patterns in quantum programs QBugs: a collection of reproducible bugs in quantum algorithms and a supporting infrastructure to enable controlled quantum software testing and debugging experiments experimental implementation of discrete time quantum walk with the IBM Qiskit library and generalized quantum tree search.;
Proceedings - 2021 IEEE/ACM International Workshop on Genetic Improvement GI 2021;The proceedings contain 11 papers. The topics discussed include: exploring the accuracy – energy trade-off in machine learning using genetic improvement to retarget quantum software on differing hardware generating object-oriented source code using genetic programming CRNRepair: automated program repair of chemical reaction networks a permutation representation of covering arrays uniform edit selection for genetic improvement: empirical analysis of mutation operator efficacy (genetically) improving novelty in procedural story generation optimizing SQL queries using genetic improvement and applying automated program repair to dataflow programming languages.;
Encoding patterns for quantum algorithms;As quantum computers are based on the laws of quantum mechanics they are capable of solving certain problems faster than their classical counterparts. However quantum algorithms with a theoretical speed-up often assume that data can be loaded efficiently. In general the runtime complexity of the loading routine depends on (i) the data encoding that defines how the data is represented by the state of the quantum computer and (ii) the data itself. In some cases loading the data requires at least exponential time that destroys a potential speed-up. And especially for the first generation of devices that are currently available the resources (qubits and operations) needed to encode the data are limited. In this work we therefore present six patterns that describe how data is handled by quantum computers. © 2021 The Authors. IET Quantum Communication published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.;
Embedding of complete graphs in broken Chimera graphs;In order to solve real-world combinatorial optimization problems with a D-Wave quantum annealer it is necessary to embed the problem at hand into the D-Wave hardware graph namely Chimera or Pegasus. Most hard real-world problems exhibit a strong connectivity. For the worst-case scenario of a complete graph there exists an efficient solution for the embedding into the ideal Chimera graph. However since real machines almost always have broken qubits it is necessary to find an embedding into the broken hardware graph. We present a new approach to the problem of embedding complete graphs into broken Chimera graphs. This problem can be formulated as an optimization problem more precisely as a matching problem with additional linear constraints. Although being NP-hard in general it is fixed-parameter tractable in the number of inaccessible vertices in the Chimera graph. We tested our exact approach on various instances of broken hardware graphs both related to real hardware and randomly generated. For fixed runtime we were able to embed larger complete graphs compared to previous heuristic approaches. As an extension we developed a fast heuristic algorithm which enables us to solve even larger instances. We compared the performance of our heuristic and exact approaches. © 2021 The Author(s).;
Scalable and effective multi-level entangled photon states: A promising tool to boost quantum technologies;Multi-level (qudit) entangled photon states are a key resource for both fundamental physics and advanced applied science as they can significantly boost the capabilities of novel technologies such as quantum communications cryptography sensing metrology and computing. The benefits of using photons for advanced applications draw on their unique properties: Photons can propagate over long distances while preserving state coherence and they possess multiple degrees of freedom (such as time and frequency) that allow scalable access to higher dimensional state encoding all while maintaining low platform footprint and complexity. In the context of out-of-lab use photon generation and processing through integrated devices and off-the-shelf components are in high demand. Similarly multi-level entanglement detection must be experimentally practical i.e. ideally requiring feasible single-qudit projections and high noise tolerance. Here we focus on multi-level optical Bell and cluster states as a critical resource for quantum technologies as well as on universal witness operators for their feasible detection and entanglement characterization. Time- A nd frequency-entangled states are the main platform considered in this context. We review a promising approach for the scalable cost-effective generation and processing of these states by using integrated quantum frequency combs and fiber-based devices respectively. We finally report an experimentally practical entanglement identification and characterization technique based on witness operators that is valid for any complex photon state and provides a good compromise between experimental feasibility and noise robustness. The results reported here can pave the way toward boosting the implementation of quantum technologies in integrated and widely accessible photonic platforms.  © 2021 Stefania Sciara et al. published by De Gruyter Berlin/Boston.;
Adaptive quantum state tomography with iterative particle filtering;Several Bayesian estimation-based heuristics have been developed to perform quantum state tomography (QST). Their ability to quantify uncertainties using region estimators and include a priori knowledge of the experimentalists makes this family of methods an attractive choice for QST. However specialized techniques for pure states do not work well for mixed states and vice versa. In this paper we present an adaptive particle filter (PF)-based QST protocol which improves the scaling of fidelity compared to nonadaptive Bayesian schemes for arbitrary multi-qubit states. This is due to the protocol’s unabating perseverance to find the states’ diagonal bases and more systematic handling of enduring problems in popular PF methods relating to the subjectivity of informative priors and the invalidity of particles produced by resamplers. Numerical examples and implementation on IBM quantum devices demonstrate improved performance for arbitrary quantum states and the application readiness of our proposed scheme. © 2021 The Author(s) under exclusive licence to Springer Science+Business Media LLC part of Springer Nature.;
Advances in Chip-Scale Quantum Photonic Technologies;Quantum photonic system has made remarkable achievements in computing and communication. Serving as quantum information carriers photons are flying qubits and robust against decoherence emerging as a desirable platform to make quantum processor a reality. However with system's complexity and functionality scaling up the requirements for stability programmability and manufacturability will be in high demand. Integrated photonics compatible with complementary metal-oxide-semiconductor fabrication has overwhelming dominance in terms of density and performance making it an unrivaled contender for large-scale quantum information processing (QIP). To improve the performance of individual blocks and integrate them on a common substrate is one of the core tasks for a practical quantum processor. Here the recent advances in components that constitute quantum photonic systems on silicon photonics platform including sources modulators and detectors are reviewed. Burgeoning quantum photonics applications such as multi-dimensional multi-photon QIP and integrated quantum key distribution are highlighted. © 2021 Wiley-VCH GmbH;
Overcoming the Rate-Directionality Trade-off: A Room-Temperature Ultrabright Quantum Light Source;Deterministic GHz-rate single photon sources at room temperature would be essential components for various quantum applications. However both the slow intrinsic decay rate and the omnidirectional emission of typical quantum emitters are two obstacles toward achieving such a goal which are hard to overcome simultaneously. Here we solve this challenge by a hybrid approach using a complex monolithic photonic resonator constructed of a gold nanocone responsible for the rate enhancement enclosed by a circular Bragg antenna for emission directionality. A repeatable process accurately binds quantum dots to the tip of the antenna-embedded nanocone. As a result we achieve simultaneous 20-fold emission rate enhancement and record-high directionality leading to an increase in the observed brightness by a factor as large as 800 (130) into an NA = 0.22(0.5). We project that these miniaturized on-chip devices can reach photon rates approaching 1.4 × 108 photons/s and pure single photon rates of >107 photons/second after temporal purification processes thus enabling ultrafast light-matter interfaces for quantum technologies at ambient conditions.  © ;
Sample fabrication and metrological characterization of single-photon emitters based on nitrogen vacancy centers in nanodiamonds;Quantum metrology requires a stable single-photon emission and a high single-photon purity. Since nitrogen-vacancy (NV-) centers provide both features at room temperature they are promising candidates for the application in this field [1 2]. The knowledge about a suitable sample preparation technique is crucial because the quality of the single-photon emission strongly depends on the sample purity and on the spatial resolvability of the emitters. This work presents the comparison and optimization of various sample fabrication techniques of nitrogen vacancy center doped nanodiamonds on standard cover glasses. The preparation is followed by a comparative characterization of the centers of the various samples. The sample fabrication includes the removal of contaminants on the cover glass surface. This was carried out by using peroxymonosulfuric acid (piranha solution H2SO5) in comparison to the commercially available lye Hellmanex III (by Hellma Analytics). After cleaning the cover glasses volumes of various nanodiamond dilutions were applied via spin coating. In subsequent steps the nanodiamonds themselves were cleaned with peroxymonosulfuric acid too to remove contaminants resulting from the manufacturing process e.g. graphite. The samples were analyzed by using a confocal laser scanning microscope with an oil immersion objective. Single-photon purity was determined by measuring the second order correlation function with a Hanbury Brown and Twiss setup. Spectral analysis revealed the presence of NV−- and NV°-centers. It was shown that a suitable cleansing method has an immense impact on single-photon emission as was proven by a comparative characterization of differently manufactured nanodiamonds. © 2021 The Author(s). Published by IOP Publishing Ltd;
QBugs: A Collection of Reproducible Bugs in Quantum Algorithms and a Supporting Infrastructure to Enable Controlled Quantum Software Testing and Debugging Experiments;Reproducibility and comparability of empirical results are at the core tenet of the scientific method in any scientific field. To ease reproducibility of empirical studies several benchmarks in software engineering research such as Defects4J have been developed and widely used. For quantum software engineering research however no benchmark has been established yet. In this position paper we propose a new benchmark-named QBugs-which will provide experimental subjects and an experimental infrastructure to ease the evaluation of new research and the reproducibility of previously published results on quantum software engineering.  © 2021 IEEE.;
Ultra-Wideband Switched-Capacitor Delays and Circulators - Theory and Implementation;Recent research has revealed the possibility to achieve non-magnetic non-reciprocity using time variance. However prior CMOS-based circulators rely on the interference between non-reciprocal switched-capacitor/transmission-line gyrators and reciprocal transmission-line rings which increases form factor and restricts frequency tunability and bandwidth (BW). On the other hand our recent work on quasi-electrostatic wave propagation in switched-capacitor networks has proposed a new regime in multipath switched-capacitor network operation that enables an ultra-broadband ultra-compact reciprocal/non-reciprocal true-time-delay element. In this work we corroborate these findings by implementing prototype devices of the quasi-electrostatic delay element. Our measurements of the delay element reveal that delays of tens of nanoseconds over hundreds of MHz BW are realizable on-chip in a compact form factor. In addition we apply synthetic rotation across these switched-capacitor networks to realize an ultra-broadband N-port circulator with ultra-compact form factor. We implemented a wideband three-port circulator showcasing this new architecture in a standard 65-nm CMOS process. The circulator exhibits symmetric performance across all three ports and dc-1-GHz operation for a modulation frequency of 500 MHz. The measured transmission losses of the circulator range between 3.1 and 4.3 dB matching is-15 dB isolation is >18 dB and noise figure (NF) is consistent with the insertion loss. This device occupies an area of 0.19 mm2 (λ center2/1.9× 106) representing about 100-1000 × higher miniaturization compared to the prior art.  © 1966-2012 IEEE.;
Performance Analysis of Integrated Electro-Optic Phase Modulators Based on Emerging Materials;Electro-optic modulators are utilized ubiquitously ranging from applications in data communication to photonic neural networks. While tremendous progress has been made over the years efficient phase-shifting modulators are challenged with fundamental tradeoffs such as voltage-length index change-losses or energy-bandwidth and no single solution available checks all boxes. While voltage-driven phase modulators such as based on lithium niobate offer low loss and high speed operation their footprint of 10's of cm-scale is prohibitively large especially for density-critical applications for example in photonic neural networks. Ignoring modulators for quantum applications where insertion loss is critical in this work we distinguish between current versus voltage-driven modulators. We focus on the former since current-based schemes of emerging thin electro-optical materials have shown unity-strong index modulation suitable for heterogeneous integration into foundry waveguides. Here we provide an in-depth ab-initio analysis of obtainable modulator performance based on heterogeneously integrating low-dimensional materials i.e. graphene thin films of indium tin oxide and transition metal dichalcogenide monolayers into a plurality of optical waveguide designs atop silicon photonics. Using the fundamental modulator tradeoff of energy-bandwidth-product as a design-quality quantifier we show that a small modal cross section such as given by plasmonic modes enables high-performance operation physically realized by arguments on charge-distribution and low electrical resistance. An in-depth design understanding of phase-modulator performance beyond doped-junctions in silicon offers opportunities for micrometer-compact yet energy-bandwidth-ratio constrained modulators with timely opportunities to hardware-accelerate applications beyond data communication towards photonic machine intelligence for instance where both performance and integration-density are critical.  © 1995-2012 IEEE.;
Using Genetic Improvement to Retarget quantum Software on Differing Hardware;Quantum computers are rapidly developing to a point where they can solve problems faster than any classical computation. In addition competing standards for languages models and architectures are also being created. These standards are often bespoke and aimed at optimizing around a single algorithm or problem. This can make it very difficult to reuse these them should the original hardware become unavailable or obsolete. We demonstrate a method that can compile circuits more generally across hardware constraints with the use of a genetic improvement inspired search technique that includes a realistic model of the hardware. We show that this method is effective at selecting gates that can be more easily implemented and run compared to generic optimization. This method reduces the total chance of failure. To ensure that these results are practical empirical results are generated using different IBM hardware and a selection of real algorithms.  © 2021 IEEE.;
Realization of In-Band Full-Duplex Operation at 300 and 4.2 K Using Bilateral Single-Sideband Frequency Conversion;CMOS-integrated in-band full-duplex (IBFD) operation in wireless links and cryogenic quantum platforms was previously enabled by magnetic-free circulators using the phase non-reciprocity from spatial-temporal modulation. In this article we present an alternative and simple integrated circuit scheme which not only realizes non-reciprocal signal flows required for IBFD operations but also improves the isolation performance by completely eliminating any chip-level transmit (TX)-to-receive (RX) coupling. The above functions are enabled by performing a direction/frequency-independent single-sideband down-conversion to the counter-propagating TX and RX signals which creates opposite deviations of on-chip TX and RX frequencies with respect to the antenna (ANT) frequency. Such a principle also broadens the isolation bandwidth and enables integrated receiver down-mixing function. As a proof-of-concept a 3.4-4.6-GHz (30% fractional bandwidth) IBFD interface is implemented using a 65-nm bulk CMOS technology. The measured TX-to-RX isolation of the circuit is 32-51 dB at 300 K and 14-29 dB at 4.2 K. The measured TX-to-ANT and ANT-to-RX insertion losses are 3.0 and 3.2 dB at 300 K and 1.9 and 2.0 dB at 4.2 K. At 300 K the measured TX-to-ANT and ANT-to-RX IIP3 are 29.5 and 27.6 dBm respectively. The IBFD core of the chip occupies an area of 0.27 mm2 and has a dc power (nominally consumed in an on-chip modulation clock generator) of 48 mW at 300 K and 42.6 mW at 4.2 K.  © 1966-2012 IEEE.;
On the definition of quantum programming modules;There are no doubts that quantum programming and in general quantum computing is one of the most promising areas within computer science and one of the areas where most expectations are being placed in recent years. Although the days when reliable and affordable quantum computers will be available is still a long way off the explosion of programming languages for quantum programming has grown exponentially in recent years. The software engineering community has been quick to react to the need to adopt and adapt well-known tools and methods for software development and for the design of new ones tailored to this new programming paradigm. However many key aspects for its success depend on the establishment of an appropriate conceptual framework for the conception and design of quantum programs. This article discusses the concept of module key in the software engineering discipline and establishes initial criteria for determining the cohesion and coupling levels of a module in the field of quantum programming as a first step towards a sound quantum software engineering. As detailed in the article the conceptual differences between classical and quantum computing are so pronounced that the translation of classical concepts to the new programming approach is not straightforward. © 2021 by the authors. Licensee MDPI Basel Switzerland.;
Automated quantum hardware selection for quantum workflows;The execution of a quantum algorithm typically requires various classical pre-and postprocessing tasks. Hence workflows are a promising means to orchestrate these tasks benefiting from their reliability robustness and features such as transactional processing. However the implementations of the tasks may be very heterogeneous and they depend on the quantum hardware used to execute the quantum circuits of the algorithm. Additionally today’s quantum computers are still restricted which limits the size of the quantum circuits that can be executed. As the circuit size often depends on the input data of the algorithm the selection of quantum hardware to execute a quantum circuit must be done at workflow runtime. However modeling all possible alternative tasks would clutter the workflow model and require its adaptation whenever a new quantum computer or software tool is released. To overcome this problem we introduce an approach to automatically select suitable quantum hardware for the execution of quantum circuits in workflows. Furthermore it enables the dynamic adaptation of the workflows depending on the selection at runtime based on reusable workflow fragments. We validate our approach with a prototypical implementation and a case study demonstrating the hardware selection for Simon’s algorithm. © 2021 by the authors. Licensee MDPI Basel Switzerland.;
Deterministic algorithms for compiling quantum circuits with recurrent patterns;Current quantum processors are noisy and have limited coherence and imperfect gate implementations. On such hardware only algorithms that are shorter than the overall coherence time can be implemented and executed successfully. A good quantum compiler must translate an input program into the most efficient equivalent of itself getting the most out of the available hardware. In this work we present novel deterministic algorithms for compiling recurrent quantum circuit patterns in polynomial time. In particular such patterns appear in quantum circuits that are used to compute the ground-state properties of molecular systems using the variational quantum eigensolver method together with the RyRz heuristic wavefunction Ansätz. We show that our pattern-oriented compiling algorithms combined with an efficient swapping strategy produces—in general—output programs that are comparable to those obtained with state-of-the-art compilers in terms of CNOT count and CNOT depth. In particular our solution produces unmatched results on RyRz circuits. © 2021 The Author(s) under exclusive licence to Springer Science+Business Media LLC part of Springer Nature.;
Experimental Implementation of Discrete Time Quantum Walk with the IBM Qiskit Library;This paper presents an implementation of quantum random walk using the Qiskit library given the quantum circuits extracted from the literature. We started by implementing an instance of Coined Discrete Quantum Walk on an 8-node cyclic graph. Observing the limitations of this implementation we experimented a different approach by proposing an implementation for Szegedy Quantum Walk in the IBM Qiskit library [1]. The proposed solution could be used as a building block to construct quantum implementation of other classic algorithms.  © 2021 IEEE.;
Modelling Quantum Circuits with UML;None of the quantum computing applications imagined will ever become a reality without quantum software. Quantum programmes have to date been coded with ad hoc techniques. Researchers in the field of quantum software engineering are therefore now demanding more systematic techniques and methods with which to produce software with sufficient quality. One of the challenges and lessons learned from classic software engineering is the need for high-level abstract and technology-independent representations with which to design software before it is coded. This paper specifically addresses this challenge for quantum software design. Since UML is a well-proven modelling language that has been widely employed by industry for some time we propose a UML extension for the representation of quantum algorithms. Our proposal comprises the definition of a UML profile based on various stereotypes that can be applied to the existing UML activity diagrams in order to represent quantum circuits. The advantage of this representation is that UML quantum circuits can be interrelated with other UML elements and diagrams which will make it possible to represent various concerns and viewpoints of the so-called hybrid information systems. This will consequently enable classical and quantum aspects to be modelled together in integrated designs in a technological-agnostic manner that is already supported by a considerable number of existing software design tools.  © 2021 IEEE.;
Recent advances in generation and detection of orbital angular momentum optical beams—a review;Herein we have discussed three major methods which have been generally employed for the generation of optical beams with orbital angular momentum (OAM). These methods include the practice of diffractive optics elements (DOEs) metasurfaces (MSs) and photonic integrated circuits (PICs) for the production of in‐plane and out‐of‐plane OAM. This topic has been significantly evolved as a result these three methods have been further implemented efficiently by different novel approaches which are discussed as well. Furthermore development in the OAM detection techniques has also been presented. We have tried our best to bring novel and up‐to‐date information to the readers on this interesting and widely investigated topic. © 2021 by the authors. Licensee MDPI Basel Switzerland.;
Significant increase of UV reflectivity of SiC galvanometer mirror scanners for the high-power laser applications;Silicon carbide (SiC) galvanometer mirror scanners are widely used for high-speed laser scanning systems engineering. For bare SiC galvo-scanners the working range and laser induced damage threshold (LIDT) are limited. In order to overcome these limits special surface enhancement should be done. In present research an optimized multilayer coating approach was suggested. This method ensures a significant increase in SiC ultraviolet (UV) range reflectivity. The SiC reflectivity was enhanced from 25% up to the 98.5% at the 355 nm wavelength for the angles of reflection from 34 ° to 56 °. Moreover the multilayer coating designs suitable for the high-power laser systems was optimized and deposited on SiC. What is more important it was demonstrated how to reach better flatness of the SiC without affecting the coating roughness. Finally the coating has passed the high-temperature annealing humidity chamber and scotch-tape tests needed for final application. © 2021 Elsevier Ltd;
A computer vision based online quality control system for textile yarns;Yarn quality control is a crucial step in producing high quality textile end products. Online yarn testing can reduce latency in necessary process control by providing rapid insights into yarn quality leading to production of superior quality yarns. However both widely used capacitance based evenness testers and emerging imaging based evenness testing systems are largely offline in operation (i.e. a posteriori). A suitable online system that could be employed to test quality of a variety of yarns in normal industrial processing conditions does not yet exist. In this study we propose an online evenness testing system for measurement of a certain type of yarn defect called nep by using imaging and computer vision techniques. The developed system directly captures yarn images on a spinning frame and uses Viola-Jones object detection algorithm for real-time detection of nep defects. The validation of nep detection algorithms and comparison of the new method with an existing evenness tester in terms of nep count demonstrated its reasonable defect detection accuracy and promising potential for application in wider yarn spinning industry. © 2021 The Authors;
Entanglement-Induced Barren Plateaus;We argue that an excess in entanglement between the visible and hidden units in a quantum neural network can hinder learning. In particular we show that quantum neural networks that satisfy a volume law in the entanglement entropy will give rise to models that are not suitable for learning with high probability. Using arguments from quantum thermodynamics we then show that this volume law is typical and that there exists a barren plateau in the optimization landscape due to entanglement. More precisely we show that for any bounded objective function on the visible layers the Lipshitz constants of the expectation value of that objective function will scale inversely with the dimension of the hidden subsystem with high probability. We show how this can cause both gradient-descent and gradient-free methods to fail. We note that similar problems can happen with quantum Boltzmann machines although stronger assumptions on the coupling between the hidden and/or visible subspaces are necessary. We highlight how pretraining such generative models may provide a way to navigate these barren plateaus. © 2021 authors.;
Efficient brillouin optomechanical interaction assisted by piezomechanics on the SOI platform;A hybrid silicon/aluminum nitride waveguide on the silicon-on-insulator platform is proposed to achieve an efficient Brillouin optomechanical interaction. Both intra-optical-mode and inter-optical-mode Brillouin scattering can be achieved. The novel arrangement of symmetric electrodes provides out-of-plane electric fields for piezoelectric materials and the possibility of suspended waveguides and cavities. The piezomechanical interaction coupling strength and the Brillouin optomechanical interaction coupling strength are numerically calculated. The simulation results show that near-unity internal conversion efficiency from the microwave domain to the optical domain can be achieved. Relatively low microwave power can be used to produced up to 5 order sidebands acousto-optical modulation. The proposed scheme paves the way for efficient classical and quantum application in integrated silicon photonics. © 2009-2012 IEEE.;
Non-Gaussian Quantum States and Where to Find Them;Gaussian states have played an important role in the physics of continuous-variable quantum systems. They are appealing for the experimental ease with which they can be produced and for their compact and elegant mathematical description. Nevertheless many proposed quantum technologies require us to go beyond the realm of Gaussian states and introduce non-Gaussian elements. In this Tutorial we provide a roadmap for the physics of non-Gaussian quantum states. We introduce the phase-space representations as a framework to describe the different properties of quantum states in continuous-variable systems. We then use this framework in various ways to explore the structure of the state space. We explain how non-Gaussian states can be characterized not only through the negative values of their Wigner function but also via other properties such as quantum non-Gaussianity and the related stellar rank. For multimode systems we are naturally confronted with the question of how non-Gaussian properties behave with respect to quantum correlations. To answer this question we first show how non-Gaussian states can be created by performing measurements on a subset of modes in a Gaussian state. Then we highlight that these measured modes must be correlated via specific quantum correlations to the remainder of the system to create quantum non-Gaussian or Wigner-negative states. On the other hand non-Gaussian operations are also shown to enhance or even create quantum correlations. Finally we demonstrate that Wigner negativity is a requirement to violate Bell inequalities and to achieve a quantum computational advantage. At the end of the Tutorial we also provide an overview of several experimental realizations of non-Gaussian quantum states in quantum optics and beyond. © 2021 authors. Published by the American Physical Society.;
Strong Zero-Phonon Transition from Point Defect-Stacking Fault Complexes in Silicon Carbide Nanowires;Crystallographic defects such as vacancies and stacking faults engineer electronic band structure at the atomic level and create zero- and two-dimensional quantum structures in crystals. The combination of these point and planar defects can generate a new type of defect complex system. Here we investigate silicon carbide nanowires that host point defects near stacking faults. These point-planar defect complexes in the nanowire exhibit outstanding optical properties of high-brightness single photons (>360 kcounts/s) a fast recombination time (<1 ns) and a high Debye-Waller factor (>50%). These distinct optical properties of coupled point-planar defects lead to an unusually strong zero-phonon transition essential for achieving highly efficient quantum interactions between multiple qubits. Our findings can be extended to other defects in various materials and therefore offer a new perspective for engineering defect qubits. © 2021 American Chemical Society. All rights reserved.;
Corrigendum to “Micro-manipulation of Nanodiamonds containing NV Centres for quantum applications” [Diam. Relat. Mater. 106 (June 2020) 107840] (Diamond & Related Materials (2020) 106 (S0925963520301400) (10.1016/j.diamond.2020.107840));The authors regret <to not having indicated Professor Stefania Castelletto as the corresponding author for this manuscript. Her email address is stefania.castelletto@rmit.edu>. The authors would like to apologise for any inconvenience caused. © 2021 Elsevier B.V.;
Software tools for quantum control: Improving quantum computer performance through noise and error suppression;Effectively manipulating quantum computing (QC) hardware in the presence of imperfect devices and control systems is a central challenge in realizing useful quantum computers. Susceptibility to noise critically limits the performance and capabilities of today's so-called noisy intermediate-scale quantum devices as well as any future QC technologies. Fortunately quantum control enables efficient execution of quantum logic operations and quantum algorithms with built-in robustness to errors and without the need for complex logical encoding. In this manuscript we introduce software tools for the application and integration of quantum control in QC research serving the needs of hardware R&D teams algorithm developers and end users. We provide an overview of a set of Python-based classical software tools for creating and deploying optimized quantum control solutions at various layers of the QC software stack. We describe a software architecture leveraging both high-performance distributed cloud computation and local custom integration into hardware systems and explain how key functionality is integrable with other software packages and quantum programming languages. Our presentation includes a detailed mathematical overview of key features including a flexible optimization toolkit engineering-inspired filter functions for analyzing noise susceptibility in high-dimensional Hilbert spaces and new approaches to noise and hardware characterization. Pseudocode is presented in order to elucidate common programming workflows for these tasks and performance benchmarking is reported for numerically intensive tasks highlighting the benefits of the selected cloud-compute architecture. Finally we present a series of case studies demonstrating the application of quantum control solutions derived from these tools in real experimental settings using both trapped-ion and superconducting quantum computer hardware.  © 2021 IOP Publishing Ltd.;
Adaptive Generalized Measurement for Unambiguous State Discrimination of Quaternary Phase-Shift-Keying Coherent States;Generalized quantum measurements identifying nonorthogonal states without ambiguity often play an indispensable role in various quantum applications. For such an unambiguous state-discrimination scenario we have a finite probability of obtaining inconclusive results and minimizing the probability of inconclusive results is of particular importance. In this paper we experimentally demonstrate an adaptive generalized measurement that can unambiguously discriminate the quaternary phase-shift-keying coherent states with a near-optimal performance. Our scheme is composed of displacement operations single-photon detections and adaptive control of the displacements dependent on a history of photon-detection outcomes. Our experimental results show a clear improvement of both a probability of conclusive results and a ratio of erroneous decision caused by unavoidable experimental imperfections over conventional static generalized measurements.  © 2021 authors. Published by the American Physical Society.;
Quo Vadis Metasurfaces?;The full manipulation of intrinsic properties of electromagnetic waves has become the central target in various modern optical technologies. Optical metasurfaces have been suggested for a complete control of light-matter interaction with subwavelength structures and they have been explored widely in the past decade for creating next-generation multifunctional flat-optics devices. The current studies of metasurfaces have reached a mature stage where common materials basic optical physics and conventional engineering tools have been explored extensively for various applications such as light bending metalenses metaholograms and many others. A natural question is where the future research on metasurfaces will be going: Quo vadis metasurfaces? In this Mini Review we provide perspectives on the future developments of optical metasurfaces. Specifically we highlight recent progresses on hybrid metasurfaces employing low-dimensional materials and discuss biomedical computational and quantum applications of metasurfaces followed by discussions of challenges and foreseeing the future of metasurface physics and engineering. © 2021 American Chemical Society;
Reconfigurable Quantum Local Area Network over Deployed Fiber;Practical quantum networking architectures are crucial for scaling the connection of quantum resources. Yet quantum network testbeds have thus far underutilized the full capabilities of modern lightwave communications such as flexible-grid bandwidth allocation. In this work we implement flex-grid entanglement distribution in a deployed network for the first time connecting nodes in three distinct campus buildings time synchronized via the Global Positioning System. We quantify the quality of the distributed polarization entanglement via log-negativity which offers a generic metric of link performance in entangled bits per second. After demonstrating successful entanglement distribution for two allocations of our eight dynamically reconfigurable channels we realize the first deployed fiber network demonstration of remote state preparation (RSP) a fundamental quantum communications protocol with utility for performing remote private “blind” quantum computing. We further demonstrate RSP not only at one location but over three nodes in three locations. In general our results highlight an advanced paradigm for managing entanglement resources in quantum networks of ever-increasing complexity and service demands. © 2021 Published by the American Physical Society;
Efficient Hardware Implementation of PQC Primitives and PQC algorithms Using High-Level Synthesis;Efficient and quantum-resistant Post-Quantum Cryptographic (PQC) algorithms need to be built before development of large-scale quantum which will break RSA and Elliptic Curve cryptography based existing public key infrastructure. Cryptographers are developing quantum-resistant PQC algorithms which consist of PQC primitives. These primitives act as a basic building blocks that play a vital role in security and resource utilization. Hence efficient and precise implementation of PQC primitives is crucial for stable PQC algorithms. This paper implements and optimizes PQC primitives using High-level synthesis. High-level synthesis produces area-optimized and speed-optimized solutions for the primitives. These solutions create efficient and constant-time PQC designs that keep the hardware secure against timing side-channel attack. © 2021 IEEE.;
Asymmetric Quantum Concatenated and Tensor Product Codes with Large Z-Distances;In this paper we present a new construction of asymmetric quantum codes (AQCs) by combining classical concatenated codes (CCs) with tensor product codes (TPCs) called asymmetric quantum concatenated and tensor product codes (AQCTPCs) which have the following three advantages. First only the outer codes in AQCTPCs need to satisfy the orthogonal constraint in quantum codes and any classical linear code can be used for the inner which makes AQCTPCs very easy to construct. Second most AQCTPCs are highly degenerate which means they can correct many more errors than their classical TPC counterparts. Consequently we construct several families of AQCs with better parameters than known results in the literature. Third AQCTPCs can be efficiently decoded although they are degenerate provided that the inner and outer codes are efficiently decodable. In particular we significantly reduce the inner decoding complexity of TPCs from Ω (n2n1)(a>1) to O(n 2) by considering error degeneracy where n 1 and n2 are the block length of the inner code and the outer code respectively. Furthermore we generalize our concatenation scheme by using the generalized CCs and TPCs correspondingly.  © 1972-2012 IEEE.;
